spearman	pearson	pv_s	pv_p
0.5658321056696108	0.5524377068649742	1.1025340943261209e-06	2.2146468863121934e-06
0.6163409724647049	0.5748905835031117	5.895718763137585e-08	6.758751023156481e-07
0.6328032912433417	0.5966855866251729	2.02253037287102e-08	1.9564758199797511e-07
0.6524023800813292	0.6172581589520583	5.196564378138627e-09	5.5635500192634485e-08
0.6701468822418905	0.6372712701023415	1.3905483511354595e-09	1.4963108029917886e-08
0.6849148872658414	0.6564895512179838	4.326746735704597e-10	3.865466640062307e-09
0.7037355076219461	0.6746194620269128	8.8196270478348e-11	9.83301263481521e-10
0.7206786451688046	0.6917383609508179	1.8884195991753067e-11	2.4647372675916964e-10
0.7304095011923382	0.7081950259568821	7.398346288423281e-12	5.941093133229844e-11
0.7423154897387791	0.7236604375607646	2.2217973162406438e-12	1.423059266981576e-11
0.7544733357352412	0.7380537243988057	6.066823040539329e-13	3.443025390708984e-12
0.7645247376042558	0.7514153142778381	1.9573337131880024e-13	8.468246984676102e-13
0.7735916058050071	0.7642764226581698	6.716893556023429e-14	2.014159163072539e-13
0.7848336065286657	0.775849060858846	1.6619472889543595e-14	5.1071680939104366e-14
0.7920687841838107	0.7867098740575544	6.468322114947747e-15	1.3057541928124232e-14
0.8020972899210054	0.7967448762777884	1.6413800017688313e-15	3.445217397543324e-15
0.8102712089807735	0.8060746372787396	5.058986926680246e-16	9.322040645621176e-16
0.8165218529676551	0.8147366725002588	1.9781935606746362e-16	2.5959569730735263e-16
0.8243981223137622	0.822602607048064	5.752070756393463e-17	7.663600837183075e-17
0.8268251122866905	0.8298943065724875	3.882672051287873e-17	2.3412320742847548e-17
0.8312440657279657	0.8366268783197142	1.868284078041625e-17	7.444674139686438e-18
0.8409062333560391	0.8426927937287374	3.4970942183174276e-18	2.5342151692434342e-18
0.8471110850792805	0.8482149710793178	1.1229492393949866e-18	9.12647610320319e-19
0.8498815170295101	0.853285366450741	6.652471251799127e-19	3.445775546903242e-19
0.8543004704707853	0.857855546337618	2.822867855883912e-19	1.3873103531338904e-19
0.8602076724803656	0.8618395165528023	8.578741921139872e-20	6.114420077736611e-20
0.8633902348033566	0.8657005757030588	4.414181118956211e-20	2.696395141941732e-20
0.8660232899626656	0.869019263404226	2.5151662468822376e-20	1.306915787895474e-20
0.8684731760674143	0.87209579565365	1.4743119732676102e-20	6.5601955179534895e-21
0.8746322355270153	0.8748961301871475	3.666631756846309e-21	3.448794581506165e-21
0.877997966904567	0.8772060899883682	1.6612407353272988e-21	2.0055495694333878e-21
0.8796693845274327	0.8794629085105529	1.111468934635702e-21	1.1684172182364099e-21
0.8815239712048593	0.8814688562353975	7.066112579427728e-22	7.162651846049711e-22
0.8820276861049009	0.8830479457828644	6.239990442552707e-22	4.842376082585836e-22
0.8867671853916571	0.8845966195502046	1.8826408436690262e-22	3.2803956442656987e-22
0.8899039554510081	0.8858482059571138	8.268739725463659e-23	2.384870494798236e-22
0.8895605134737068	0.8871590378121388	9.059124061366943e-23	1.7010132370090043e-22
0.8889652140463846	0.8881111462072734	1.060470517835841e-22	1.327308981912618e-22
0.8911174504374721	0.8889840743408071	5.974419675909377e-23	1.0552057075669471e-22
0.8917127498647943	0.8896789472394976	5.0867992121629216e-23	8.778676093808313e-23
0.8920790879739157	0.8903205304336533	4.605287581461806e-23	7.399008867191854e-23
0.893086517773999	0.8909286821129064	3.496913101373453e-23	6.285804890067616e-23
0.8934757520149403	0.8913165336755243	3.141714987816894e-23	5.662143500726886e-23
0.8931552061694592	0.8917577577190154	3.4315379888687017e-23	5.0251257833371635e-23
0.8916440614693341	0.8920647496190306	5.1823301982068356e-23	4.6232782479361744e-23
0.8899497477146482	0.8922923444881108	8.168515931777759e-23	4.345544798464716e-23
0.8915753730738738	0.8923304689511151	5.279589315426584e-23	4.3006227438404454e-23
0.8913464117556731	0.8923561457621262	5.616657111671216e-23	4.2706203756433245e-23
0.8896749941328073	0.8924050650251406	8.78790044466423e-23	4.2140174898600065e-23
0.89047635874651	0.8923803909353616	7.096901483870702e-23	4.24247608331925e-23
0.89047635874651	0.8921590609097664	7.096901483870702e-23	4.506174877886522e-23
0.8924225299512166	0.8921463314294316	4.193985114898875e-23	4.5218121091400543e-23
0.8937505055967814	0.8920143898164496	2.912205808648246e-23	4.687004224109429e-23
0.8945518702104841	0.8918077206480781	2.331395494417343e-23	4.9575066623496777e-23
0.8940710514422623	0.8916281591571186	2.664847900517852e-23	5.204692206883964e-23
0.8939107785195218	0.8913597472733974	2.785881572056114e-23	5.596468993183613e-23
0.8931323100376392	0.8911602707589397	3.453197679620373e-23	5.90588257856057e-23
0.8943458050241034	0.8907754338294734	2.469059287790957e-23	6.55004631855897e-23
0.8942542204968231	0.8905531991875615	2.532728328473385e-23	6.952341269752254e-23
0.8946663508695843	0.8903311193730962	2.258144395219524e-23	7.378093344962281e-23
0.8944602856832037	0.8900810100116165	2.391640450245703e-23	7.887672915863718e-23
0.8940939475740824	0.8898587782484292	2.647976699099525e-23	8.368778215021437e-23
0.8935902326740408	0.8896799086517456	3.044042827168045e-23	8.776434103891328e-23
0.8933841674876599	0.8894613742132293	3.2220210714892715e-23	9.300504412015256e-23
0.8937836328269119	0.8891154522430501	2.885651012004534e-23	1.0192245161230093e-22
0.8940252591786223	0.8887452624681649	2.698901708817545e-23	1.1237694612600822e-22
0.8918272305238946	0.8883747976599741	4.931341099444376e-23	1.2387008073602549e-22
0.8915524769420538	0.8880939713219304	5.312398232277592e-23	1.3332882917722776e-22
